,Reg3b,Reg3g,Apoa1,Guca2b,Zg16,Rpl37,Rpl37a,Oat,Rps28,Rps21
0,0.61717725,0.81554115,0.587654,0.28621322,0.31505343,3.216128,3.358733,2.4550545,2.2013462,2.115316
1,0.6185733,0.81646514,0.58796847,0.28638053,0.31521505,3.216013,3.358645,2.4548926,2.2012322,2.1152353
2,0.61997056,0.81738955,0.5882832,0.28654814,0.31537667,3.2158973,3.3585567,2.454731,2.2011182,2.1151547
3,0.62136686,0.8183137,0.588598,0.2867157,0.31553844,3.2157822,3.358469,2.4545689,2.2010045,2.1150737
4,0.62276053,0.81923413,0.5889176,0.28688884,0.3157048,3.2156625,3.358375,2.4544077,2.2008903,2.1149895
5,0.624153,0.82015395,0.5892377,0.28706235,0.3158715,3.2155426,3.3582807,2.4542463,2.2007766,2.1149049
6,0.6255474,0.82107383,0.5895581,0.28723615,0.31603816,3.2154222,3.3581862,2.4540849,2.2006629,2.11482
7,0.6269407,0.82199377,0.5898782,0.2874102,0.31620497,3.215302,3.3580918,2.4539237,2.2005491,2.1147351
8,0.6283345,0.8229133,0.59019864,0.28758353,0.31637147,3.2151823,3.3579972,2.4537623,2.2004356,2.1146502
9,0.6297276,0.8238333,0.59051883,0.28775734,0.3165384,3.2150621,3.3579028,2.4536011,2.2003217,2.1145658
10,0.6311215,0.824753,0.5908394,0.28793097,0.31670505,3.2149417,3.3578084,2.4534397,2.2002077,2.114481
11,0.6325146,0.82567304,0.59115934,0.2881046,0.31687167,3.2148216,3.357714,2.4532785,2.200094,2.1143963
12,0.6339084,0.8265927,0.59147954,0.2882787,0.31703848,3.2147017,3.3576193,2.4531171,2.1999803,2.1143117
13,0.63530326,0.8275106,0.5918013,0.28845328,0.31720543,3.214582,3.3575244,2.4529557,2.1998677,2.1142275
14,0.6367041,0.8284251,0.5921259,0.28863037,0.3173732,3.2144628,3.357428,2.452794,2.199758,2.1141458
15,0.63810575,0.8293427,0.592451,0.28880787,0.3175437,3.214344,3.3573306,2.4526315,2.1996484,2.1140637
16,0.6395155,0.83027077,0.5927783,0.28898823,0.31772494,3.2142243,3.3572302,2.4524658,2.199538,2.1139817
17,0.64092517,0.8311989,0.59310615,0.28916842,0.3179058,3.214105,3.3571298,2.4522998,2.199428,2.1139002
18,0.6423346,0.8321273,0.59343326,0.28934932,0.3180868,3.213985,3.3570294,2.4521341,2.199318,2.1138184
19,0.6437434,0.8330554,0.5937605,0.28952944,0.31826824,3.2138655,3.3569288,2.4519684,2.1992078,2.1137369
20,0.6451527,0.8339834,0.5940881,0.28971016,0.3184491,3.2137458,3.3568285,2.4518025,2.1990976,2.113655
21,0.64656246,0.83491147,0.59441555,0.28989053,0.31863004,3.2136264,3.356728,2.4516368,2.1989872,2.113573
22,0.6479715,0.83584,0.5947424,0.290071,0.31881118,3.2135067,3.3566275,2.4514709,2.198877,2.1134913
23,0.6493815,0.83676815,0.59506977,0.2902515,0.31899226,3.213387,3.3565273,2.451305,2.1987667,2.1134095
24,0.6507906,0.8376966,0.59539783,0.2904322,0.31917349,3.2132673,3.3564267,2.451139,2.1986566,2.1133277
25,0.65220034,0.8386246,0.59572506,0.2906124,0.31935447,3.2131479,3.3563263,2.450973,2.1985464,2.113246
26,0.6536093,0.83955276,0.59605265,0.290793,0.31953567,3.2130282,3.356226,2.450807,2.1984363,2.113164
27,0.6550188,0.8404809,0.59637964,0.29097366,0.3197167,3.2129087,3.3561254,2.4506412,2.198326,2.1130824
28,0.6564282,0.8414094,0.5967076,0.2911541,0.3198977,3.212789,3.3560252,2.4504752,2.1982157,2.1130006
29,0.6578373,0.84233737,0.5970346,0.29133433,0.32007882,3.2126696,3.3559244,2.4503098,2.1981056,2.112919
30,0.6592468,0.8432658,0.5973618,0.29151523,0.32025984,3.21255,3.355824,2.4501438,2.1979957,2.112837
31,0.660656,0.8441938,0.59768975,0.29169548,0.32044104,3.2124302,3.3557236,2.4499776,2.1978853,2.1127553
32,0.66206586,0.8451223,0.59801686,0.29187572,0.32062212,3.2123108,3.3556232,2.449812,2.197775,2.1126738
33,0.6634749,0.8460503,0.5983443,0.29205662,0.3208031,3.2121913,3.3555229,2.449646,2.197665,2.112592
34,0.66490054,0.84699434,0.5986737,0.2922436,0.3209918,3.2120695,3.3554173,2.4494777,2.1975515,2.1125073
